MorbyCentrum,DanderydsSjukhus,red,S
DanderydsSjukhus,Bergshamra,red,S
Bergshamra,Universitet,red,S
Universitet,TekniskaHogskolan,red,S
TekniskaHogskolan,Stadion,red,S
Stadion,Ostermalmstorg,red,S
Ostermalmstorg,TCentralen,red,S
TCentralen,GamlaStan,red,S
GamlaStan,Slussen,red,S
Slussen,Mariatorget,red,S
Mariatorget,Zinkensdamm,red,S
Zinkensdamm,Hornstull,red,S
Hornstull,Liljeholmen,red,S
Liljeholmen,Midsommarkransen,red,S
Midsommarkransen,Telefonplan,red,S
Telefonplan,Hagerstensasen,red,S
Hagerstensasen,Vastertorp,red,S
Vastertorp,Fruangen,red,S
